,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
4544,4215687,Santa Terezinha do Progresso,42,SC,447.91071428571433,483.81000000000006,490.8866666666666,474.27857142857135,500.6666666666667
4545,4215695,Santiago do Sul,42,SC,476.1916666666668,514.5750000000002,534.1416666666665,558.4333333333333,650.0
4546,4215703,Santo Amaro da Imperatriz,42,SC,490.0098765432101,526.0198813056386,533.9504451038574,550.1922839506174,561.9584569732938
4547,4215752,São Bernardino,42,SC,460.9538461538461,475.5975609756098,493.22195121951205,503.8538461538461,500.4878048780488
4548,4215802,São Bento do Sul,42,SC,499.0726984126987,531.6912209888999,537.6685166498479,558.8430687830688,587.0433905146317
4549,4215901,São Bonifácio,42,SC,487.2519999999999,528.0481481481481,523.5666666666666,549.7400000000001,590.3703703703703
4550,4216008,São Carlos,42,SC,490.21176470588244,523.1133858267716,524.632283464567,548.6714285714286,548.503937007874
4551,4216057,São Cristóvão do Sul,42,SC,452.19062500000007,516.3636363636365,520.9636363636364,524.715625,600.0
4552,4216107,São Domingos,42,SC,472.5642201834863,506.8073394495415,515.8238532110091,514.1917431192661,597.7981651376147
4553,4216206,São Francisco do Sul,42,SC,487.25600000000037,517.2682835820892,533.720708955224,535.3030000000006,547.2014925373135
4554,4216255,São João do Oeste,42,SC,492.56100000000004,511.63861386138615,523.1118811881187,555.2949999999998,585.940594059406
4555,4216305,São João Batista,42,SC,475.1097826086957,516.706101694915,528.5345762711864,527.3061594202895,570.0338983050848
4556,4216354,São João do Itaperiú,42,SC,467.0945945945946,497.57567567567565,525.1486486486488,507.2054054054054,585.9459459459459
4557,4216404,São João do Sul,42,SC,471.1233009708739,493.0396551724138,516.312931034483,512.9621359223299,527.0689655172414
4558,4216503,São Joaquim,42,SC,470.43224299065434,503.95307017543894,512.9416666666668,501.61822429906545,522.3684210526316
4559,4216602,São José,42,SC,502.27133258678634,535.0317348008382,541.2845649895186,555.89605263158,585.7809224318659
4560,4216701,São José do Cedro,42,SC,490.8441717791412,519.778735632184,524.8672413793101,560.19018404908,556.2068965517242
4561,4216800,São José do Cerrito,42,SC,462.1442857142856,495.00270270270266,504.5297297297297,507.88,539.4594594594595
4562,4216909,São Lourenço do Oeste,42,SC,484.6688775510206,519.3277108433733,530.4330120481931,539.1844387755103,575.4216867469879
4563,4217006,São Ludgero,42,SC,475.4401709401708,507.1849206349207,520.4714285714285,534.0452991452992,573.015873015873
4564,4217105,São Martinho,42,SC,475.6928571428572,500.94827586206884,511.5689655172413,552.0607142857141,588.9655172413793
4565,4217154,São Miguel da Boa Vista,42,SC,515.1800000000001,531.7272727272729,512.1181818181818,560.51,507.27272727272725
4566,4217204,São Miguel do Oeste,42,SC,502.89856887298777,536.5428571428571,539.9455462184877,562.4849731663686,591.4621848739496
4567,4217253,São Pedro de Alcântara,42,SC,481.7490566037738,527.2379310344826,527.8706896551723,564.3509433962263,556.8965517241379
4568,4217303,Saudades,42,SC,474.81271186440665,508.38160000000005,511.7024,543.6432203389832,560.64
4569,4217402,Schroeder,42,SC,488.1411764705882,518.2709459459456,532.1398648648646,543.6977941176472,550.8108108108108
4570,4217501,Seara,42,SC,488.3428571428568,526.2663414634146,526.1521951219513,536.5423469387755,563.609756097561
4571,4217550,Serra Alta,42,SC,482.57435897435903,483.40499999999986,505.8625,530.5974358974357,547.5
4572,4217600,Siderópolis,42,SC,490.25816326530617,522.2370370370372,528.3055555555558,550.0244897959184,574.4444444444445
4573,4217709,Sombrio,42,SC,480.01985472155013,514.6184444444439,524.2964444444443,535.1256658595644,576.8444444444444
4574,4217758,Sul Brasil,42,SC,463.6098039215687,518.5326923076922,515.4365384615384,511.370588235294,596.1538461538462
4575,4217808,Taió,42,SC,495.98813559322036,531.508743169399,530.1967213114756,543.2570621468926,567.431693989071
4576,4217907,Tangará,42,SC,476.615887850467,509.5107142857142,516.0366071428572,520.4261682242991,545.7142857142857
4577,4217956,Tigrinhos,42,SC,461.7785714285714,512.492857142857,515.6428571428572,528.7142857142857,530.0
4578,4218004,Tijucas,42,SC,478.88346253230003,513.9870098039213,531.8112745098039,529.3007751937978,557.4509803921569
4579,4218103,Timbé do Sul,42,SC,481.62093023255824,498.97499999999997,507.03863636363644,487.91627906976765,454.09090909090907
4580,4218202,Timbó,42,SC,497.4645251396646,526.8025974025969,542.0838961038961,561.3206703910613,578.077922077922
4581,4218251,Timbó Grande,42,SC,446.876,465.7438596491229,483.70701754385965,474.84599999999983,428.7719298245614
4582,4218301,Três Barras,42,SC,472.90126582278515,504.7514970059883,518.9808383233534,513.5196202531646,543.1137724550898
4583,4218350,Treviso,42,SC,514.1333333333333,532.2333333333333,531.0222222222224,543.6814814814815,585.1851851851852
4584,4218400,Treze de Maio,42,SC,484.6168316831686,521.524,523.9000000000001,530.4405940594058,630.0
4585,4218509,Treze Tílias,42,SC,501.4999999999999,542.8024691358024,545.2172839506176,581.6805555555555,569.3827160493827
4586,4218608,Trombudo Central,42,SC,488.7553191489362,507.9836734693876,524.2836734693877,552.5531914893617,507.3469387755102
4587,4218707,Tubarão,42,SC,492.01159420289855,524.1551020408164,534.1467817896394,548.1261722080131,595.2119309262166
4588,4218756,Tunápolis,42,SC,505.4915492957746,547.1830985915493,540.7070422535211,576.0394366197185,621.6901408450705
4589,4218806,Turvo,42,SC,502.75527950310544,531.6628048780489,537.0597560975608,564.3509316770186,587.0731707317074
4590,4218855,União do Oeste,42,SC,470.7956521739131,511.311111111111,510.1296296296296,504.9695652173913,567.4074074074074
4591,4218905,Urubici,42,SC,450.2283582089553,494.25064935064955,510.6103896103899,505.56716417910457,531.1688311688312
4592,4218954,Urupema,42,SC,455.2659574468085,489.72448979591843,503.8734693877552,490.0808510638297,432.6530612244898
4593,4219002,Urussanga,42,SC,491.5759090909092,531.4735042735043,534.4542735042735,549.2222727272728,584.1025641025641
4594,4219101,Vargeão,42,SC,488.4511111111112,513.4340425531913,516.4808510638297,530.388888888889,573.6170212765958
4595,4219150,Vargem,42,SC,457.8516129032257,475.4451612903225,501.5129032258064,532.5967741935484,537.4193548387096
4596,4219176,Vargem Bonita,42,SC,466.65952380952376,503.7809523809523,528.8380952380952,505.5595238095236,571.9047619047619
4597,4219200,Vidal Ramos,42,SC,459.8823529411763,499.65142857142854,503.14571428571423,515.5323529411766,573.7142857142857
4598,4219309,Videira,42,SC,487.30803709428176,524.0217391304345,533.2540579710148,545.750231839259,564.1159420289855
4599,4219358,Vitor Meireles,42,SC,494.9999999999998,505.62040816326527,517.4571428571428,541.4,560.4081632653061
4600,4219408,Witmarsum,42,SC,473.24444444444447,513.6724137931034,512.8379310344827,547.0592592592592,554.4827586206897
4601,4219507,Xanxerê,42,SC,496.0303599374023,524.7143504531729,534.432779456194,541.273552425665,597.8851963746224
4602,4219606,Xavantina,42,SC,489.4745454545455,503.1785714285714,507.5625,529.1272727272728,568.5714285714286
4603,4219705,Xaxim,42,SC,488.0207349081364,527.2234848484849,533.4669191919196,544.6443569553807,583.2828282828283
4604,4219853,Zortéa,42,SC,478.07441860465127,524.8139534883719,529.4069767441862,514.0255813953488,619.5348837209302
